il,ilce,genel_sira,il_ici_sira,skor,kademe
İZMİR,TORBALI,138,16,"0,927",2
İZMİR,SEFERİHİSAR,139,17,"0,924",2
İZMİR,MENDERES,145,18,"0,903",2
İZMİR,FOÇA,154,19,"0,844",2
İZMİR,MENEMEN,156,20,"0,838",2
İZMİR,SELÇUK,178,21,"0,690",2
İZMİR,KARABURUN,186,22,"0,676",2
İZMİR,DİKİLİ,200,23,"0,609",2
İZMİR,TİRE,221,24,"0,500",2
İZMİR,BERGAMA,241,25,"0,379",3
İZMİR,ÖDEMİŞ,250,26,"0,336",3
İZMİR,KINIK,493,27,"-0,297",4
İZMİR,BAYINDIR,503,28,"-0,304",4
İZMİR,BEYDAĞ,618,29,"-0,481",4
İZMİR,KİRAZ,715,30,"-0,599",5
KARS,MERKEZ,239,1,"0,398",2
KARS,KAĞIZMAN,827,2,"-0,784",5
KARS,SARIKAMIŞ,839,3,"-0,804",5
KARS,AKYAKA,855,4,"-0,832",6
KARS,ARPAÇAY,894,5,"-0,943",6
KARS,SELİM,905,6,"-0,977",6
KARS,SUSUZ,926,7,"-1,064",6
KARS,DİGOR,950,8,"-1,164",6
KASTAMONU,MERKEZ,146,1,"0,892",2
KASTAMONU,ABANA,306,2,"0,084",3
KASTAMONU,TOSYA,364,3,"-0,066",3
KASTAMONU,SEYDİLER,410,4,"-0,169",3
KASTAMONU,BOZKURT,448,5,"-0,225",4
KASTAMONU,İNEBOLU,457,6,"-0,236",4
KASTAMONU,TAŞKÖPRÜ,509,7,"-0,319",4
KASTAMONU,DEVREKANİ,564,8,"-0,416",4
KASTAMONU,HANÖNÜ,575,9,"-0,427",4
KASTAMONU,ÇATALZEYTİN,591,10,"-0,448",4
KASTAMONU,DADAY,594,11,"-0,451",4
KASTAMONU,AZDAVAY,596,12,"-0,453",4
KASTAMONU,İHSANGAZİ,624,13,"-0,490",4
KASTAMONU,AĞLI,634,14,"-0,503",5
KASTAMONU,CİDE,664,15,"-0,533",5
KASTAMONU,KÜRE,685,16,"-0,564",5
KASTAMONU,ARAÇ,686,17,"-0,565",5
KASTAMONU,PINARBAŞI,743,18,"-0,630",5
KASTAMONU,ŞENPAZAR,870,19,"-0,859",6
KASTAMONU,DOĞANYURT,938,20,"-1,113",6
KAYSERİ,MELİKGAZİ,46,1,"1,983",1
KAYSERİ,KOCASİNAN,71,2,"1,558",2
KAYSERİ,HACILAR,134,3,"0,963",2
KAYSERİ,TALAS,194,4,"0,631",2
KAYSERİ,DEVELİ,396,5,"-0,139",3
KAYSERİ,YEŞİLHİSAR,441,6,"-0,209",4
KAYSERİ,İNCESU,491,7,"-0,295",4
KAYSERİ,ÖZVATAN,510,8,"-0,325",4
KAYSERİ,BÜNYAN,537,9,"-0,379",4
KAYSERİ,YAHYALI,553,10,"-0,395",4
KAYSERİ,PINARBAŞI,641,11,"-0,512",5
KAYSERİ,FELAHİYE,678,12,"-0,552",5
KAYSERİ,SARIOĞLAN,727,13,"-0,613",5
KAYSERİ,SARIZ,765,14,"-0,670",5
KAYSERİ,TOMARZA,767,15,"-0,674",5
KAYSERİ,AKKIŞLA,846,16,"-0,812",5
KIRKLARELİ,LÜLEBURGAZ,114,1,"1,120",2
KIRKLARELİ,MERKEZ,153,2,"0,850",2
KIRKLARELİ,BABAESKİ,270,3,"0,252",3
KIRKLARELİ,PINARHİSAR,340,4,"0,002",3
KIRKLARELİ,VİZE,350,5,"-0,032",3
KIRKLARELİ,DEMİRKÖY,485,6,"-0,286",4
KIRKLARELİ,PEHLİVANKÖY,545,7,"-0,387",4
KIRKLARELİ,KOFÇAZ,769,8,"-0,677",5
KIRŞEHİR,MERKEZ,181,1,"0,686",2
KIRŞEHİR,KAMAN,386,2,"-0,126",3
KIRŞEHİR,MUCUR,481,3,"-0,281",4
KIRŞEHİR,BOZTEPE,701,4,"-0,584",5
KIRŞEHİR,AKPINAR,713,5,"-0,596",5
KIRŞEHİR,ÇİÇEKDAĞI,782,6,"-0,697",5
KIRŞEHİR,AKÇAKENT,849,7,"-0,816",5
KOCAELİ,GEBZE,34,1,"2,334",1
KOCAELİ,İZMİT,44,2,"2,023",1
KOCAELİ,BAŞİSKELE,70,3,"1,562",2
KOCAELİ,ÇAYIROVA,135,4,"0,962",2
KOCAELİ,GÖLCÜK,147,5,"0,892",2
KOCAELİ,KARTEPE,157,6,"0,837",2
KOCAELİ,DERİNCE,185,7,"0,680",2
KOCAELİ,DİLOVASI,187,8,"0,665",2
KOCAELİ,DARICA,202,9,"0,603",2
KOCAELİ,KÖRFEZ,211,10,"0,550",2
KOCAELİ,KARAMÜRSEL,252,11,"0,328",3
KOCAELİ,KANDIRA,456,12,"-0,235",4
KONYA,SELÇUKLU,21,1,"2,562",1
KONYA,KARATAY,82,2,"1,481",2
KONYA,MERAM,124,3,"1,053",2
KONYA,EREĞLİ,230,4,"0,453",2
KONYA,AKŞEHİR,243,5,"0,372",3
KONYA,BEYŞEHİR,244,6,"0,369",3
KONYA,SEYDİŞEHİR,271,7,"0,228",3
KONYA,ILGIN,383,8,"-0,121",3
KONYA,KULU,385,9,"-0,125",3
KONYA,CİHANBEYLİ,404,10,"-0,159",3
KONYA,KARAPINAR,405,11,"-0,161",3
KONYA,ÇUMRA,455,12,"-0,233",4
KONYA,SARAYÖNÜ,543,13,"-0,386",4
KONYA,HÜYÜK,637,14,"-0,506",5
KONYA,KADINHANI,655,15,"-0,526",5
KONYA,ÇELTİK,675,16,"-0,544",5
KONYA,YUNAK,680,17,"-0,559",5
KONYA,BOZKIR,692,18,"-0,574",5
KONYA,DOĞANHİSAR,729,19,"-0,616",5
KONYA,DEREBUCAK,733,20,"-0,621",5
KONYA,GÜNEYSINIR,735,21,"-0,621",5
KONYA,ALTINEKİN,751,22,"-0,641",5
KONYA,AKÖREN,766,23,"-0,672",5
KONYA,HADİM,771,24,"-0,681",5
KONYA,YALIHÜYÜK,772,25,"-0,682",5
KONYA,TUZLUKÇU,774,26,"-0,686",5
KONYA,TAŞKENT,787,27,"-0,710",5
KONYA,EMİRGAZİ,803,28,"-0,733",5
KONYA,HALKAPINAR,819,29,"-0,765",5
KONYA,AHIRLI,881,30,"-0,907",6
KONYA,DERBENT,891,31,"-0,936",6
KÜTAHYA,MERKEZ,97,1,"1,230",2
KÜTAHYA,TAVŞANLI,260,2,"0,309",3
KÜTAHYA,SİMAV,347,3,"-0,027",3
KÜTAHYA,GEDİZ,368,4,"-0,083",3
KÜTAHYA,DUMLUPINAR,449,5,"-0,226",4
KÜTAHYA,EMET,494,6,"-0,299",4
KÜTAHYA,DOMANİÇ,622,7,"-0,483",4
KÜTAHYA,HİSARCIK,643,8,"-0,514",5
KÜTAHYA,ŞAPHANE,647,9,"-0,516",5
KÜTAHYA,ALTINTAŞ,648,10,"-0,516",5
KÜTAHYA,ÇAVDARHİSAR,682,11,"-0,562",5
KÜTAHYA,PAZARLAR,707,12,"-0,592",5
KÜTAHYA,ASLANAPA,826,13,"-0,782",5
MALATYA,YEŞİLYURT,130,1,"1,023",2
MALATYA,BATTALGAZİ,162,2,"0,813",2
MALATYA,ARAPGİR,551,3,"-0,393",4
MALATYA,DARENDE,578,4,"-0,430",4
MALATYA,AKÇADAĞ,645,5,"-0,514",5
MALATYA,DOĞANŞEHİR,705,6,"-0,590",5
MALATYA,HEKİMHAN,721,7,"-0,606",5
MALATYA,YAZIHAN,779,8,"-0,696",5
MALATYA,KALE,791,9,"-0,717",5
MALATYA,KULUNCAK,875,10,"-0,873",6
MALATYA,ARGUVAN,876,11,"-0,877",6
MALATYA,DOĞANYOL,903,12,"-0,973",6
MALATYA,PÜTÜRGE,933,13,"-1,097",6
MANİSA,YUNUSEMRE,68,1,"1,581",2
MANİSA,ŞEHZADELER,164,2,"0,797",2
MANİSA,SALİHLİ,197,3,"0,616",2
MANİSA,AKHİSAR,214,4,"0,543",2
MANİSA,TURGUTLU,222,5,"0,489",2
MANİSA,SOMA,235,6,"0,416",2
MANİSA,ALAŞEHİR,327,7,"0,038",3
MANİSA,KULA,382,8,"-0,119",3
MANİSA,DEMİRCİ,427,9,"-0,192",4
MANİSA,SARUHANLI,428,10,"-0,192",4
MANİSA,KIRKAĞAÇ,446,11,"-0,219",4
MANİSA,AHMETLİ,489,12,"-0,292",4
MANİSA,SARIGÖL,496,13,"-0,300",4
MANİSA,GÖRDES,528,14,"-0,362",4
MANİSA,KÖPRÜBAŞI,562,15,"-0,412",4
MANİSA,SELENDİ,659,16,"-0,528",5
MANİSA,GÖLMARMARA,673,17,"-0,543",5
MARDİN,ARTUKLU,259,1,"0,311",3
MARDİN,KIZILTEPE,436,2,"-0,201",4
MARDİN,MİDYAT,526,3,"-0,360",4
MARDİN,NUSAYBİN,554,4,"-0,395",4
MARDİN,ÖMERLİ,869,5,"-0,858",6
MARDİN,DARGEÇİT,873,6,"-0,866",6
MARDİN,YEŞİLLİ,893,7,"-0,936",6
MARDİN,MAZIDAĞI,916,8,"-1,019",6
MARDİN,DERİK,929,9,"-1,085",6
MARDİN,SAVUR,953,10,"-1,187",6
MUĞLA,BODRUM,25,1,"2,483",1
MUĞLA,MARMARİS,65,2,"1,671",1
MUĞLA,MENTEŞE,72,3,"1,555",2
MUĞLA,FETHİYE,78,4,"1,522",2
MUĞLA,DATÇA,140,5,"0,923",2
MUĞLA,ORTACA,148,6,"0,884",2
MUĞLA,MİLAS,184,7,"0,681",2
MUĞLA,DALAMAN,212,8,"0,548",2
MUĞLA,ULA,247,9,"0,355",3
MUĞLA,KÖYCEĞİZ,275,10,"0,205",3
MUĞLA,YATAĞAN,282,11,"0,170",3
MUĞLA,KAVAKLIDERE,518,12,"-0,340",4
MUĞLA,SEYDİKEMER,635,13,"-0,505",5
MUŞ,MERKEZ,500,1,"-0,303",4
MUŞ,VARTO,865,2,"-0,844",6
MUŞ,MALAZGİRT,918,3,"-1,027",6
MUŞ,HASKÖY,919,4,"-1,032",6
MUŞ,BULANIK,920,5,"-1,036",6
MUŞ,KORKUT,957,6,"-1,220",6
NEVŞEHİR,MERKEZ,118,1,"1,082",2
NEVŞEHİR,ÜRGÜP,216,2,"0,527",2
NEVŞEHİR,AVANOS,356,3,"-0,044",3
NEVŞEHİR,KOZAKLI,390,4,"-0,130",3
NEVŞEHİR,HACIBEKTAŞ,443,5,"-0,211",4
NEVŞEHİR,GÜLŞEHİR,541,6,"-0,385",4
NEVŞEHİR,DERİNKUYU,728,7,"-0,615",5
NEVŞEHİR,ACIGÖL,811,8,"-0,746",5
NİĞDE,MERKEZ,207,1,"0,575",2
NİĞDE,BOR,297,2,"0,116",3
NİĞDE,ULUKIŞLA,508,3,"-0,314",4
NİĞDE,ÇAMARDI,804,4,"-0,733",5
NİĞDE,ALTUNHİSAR,904,5,"-0,975",6
NİĞDE,ÇİFTLİK,906,6,"-0,977",6
ORDU,ALTINORDU,113,1,"1,121",2
ORDU,FATSA,246,2,"0,363",3
ORDU,ÜNYE,266,3,"0,266",3
ORDU,GÜLYALI,398,4,"-0,145",3
ORDU,PERŞEMBE,566,5,"-0,418",4
ORDU,AYBASTI,603,6,"-0,464",4
ORDU,KUMRU,720,7,"-0,606",5
ORDU,GÖLKÖY,724,8,"-0,610",5
ORDU,KORGAN,784,9,"-0,704",5
ORDU,ULUBEY,801,10,"-0,730",5
ORDU,KABADÜZ,809,11,"-0,744",5
ORDU,ÇAMAŞ,823,12,"-0,776",5
ORDU,KABATAŞ,841,13,"-0,805",5
ORDU,MESUDİYE,864,14,"-0,842",6
ORDU,ÇATALPINAR,868,15,"-0,854",6
ORDU,GÜRGENTEPE,871,16,"-0,859",6
ORDU,ÇAYBAŞI,890,17,"-0,932",6
ORDU,İKİZCE,907,18,"-0,979",6
ORDU,AKKUŞ,912,19,"-1,012",6
RİZE,MERKEZ,119,1,"1,079",2
RİZE,PAZAR,277,2,"0,199",3
RİZE,ARDEŞEN,311,3,"0,078",3
RİZE,ÇAYELİ,323,4,"0,054",3
RİZE,FINDIKLI,336,5,"0,018",3
RİZE,İYİDERE,425,6,"-0,187",4
RİZE,GÜNEYSU,431,7,"-0,195",4
RİZE,HEMŞİN,476,8,"-0,270",4
RİZE,ÇAMLIHEMŞİN,486,9,"-0,287",4
RİZE,DEREPAZARI,531,10,"-0,370",4
RİZE,KALKANDERE,598,11,"-0,453",4
RİZE,İKİZDERE,631,12,"-0,500",5
SAKARYA,SERDİVAN,77,1,"1,527",2
SAKARYA,ADAPAZARI,87,2,"1,392",2
SAKARYA,ARİFİYE,106,3,"1,148",2
SAKARYA,SAPANCA,177,4,"0,695",2
SAKARYA,ERENLER,179,5,"0,690",2
SAKARYA,HENDEK,253,6,"0,328",3
SAKARYA,KARASU,285,7,"0,159",3
SAKARYA,AKYAZI,288,8,"0,153",3
SAKARYA,PAMUKOVA,346,9,"-0,024",3
SAKARYA,GEYVE,355,10,"-0,043",3
SAKARYA,SÖĞÜTLÜ,367,11,"-0,077",3
SAKARYA,FERİZLİ,397,12,"-0,139",3
SAKARYA,KOCAALİ,468,13,"-0,253",4
SAKARYA,KAYNARCA,520,14,"-0,351",4
SAKARYA,TARAKLI,584,15,"-0,437",4
SAKARYA,KARAPÜRÇEK,597,16,"-0,453",4
SAMSUN,ATAKUM,60,1,"1,734",1
SAMSUN,İLKADIM,91,2,"1,343",2
SAMSUN,TEKKEKÖY,191,3,"0,650",2
SAMSUN,CANİK,210,4,"0,553",2
SAMSUN,BAFRA,269,5,"0,256",3
SAMSUN,ÇARŞAMBA,344,6,"-0,015",3
SAMSUN,HAVZA,384,7,"-0,124",3
SAMSUN,ONDOKUZMAYIS,394,8,"-0,137",3
SAMSUN,TERME,438,9,"-0,202",4
SAMSUN,LADİK,469,10,"-0,260",4
SAMSUN,KAVAK,513,11,"-0,331",4
SAMSUN,ALAÇAM,565,12,"-0,417",4
SAMSUN,VEZİRKÖPRÜ,666,13,"-0,537",5
SAMSUN,YAKAKENT,667,14,"-0,538",5
SAMSUN,SALIPAZARI,800,15,"-0,730",5
SAMSUN,ASARCIK,810,16,"-0,745",5
SAMSUN,AYVACIK,829,17,"-0,784",5
SİİRT,MERKEZ,313,1,"0,074",3
SİİRT,KURTALAN,812,2,"-0,746",5
SİİRT,BAYKAN,924,3,"-1,061",6
SİİRT,TİLLO,931,4,"-1,092",6
SİİRT,ERUH,934,5,"-1,098",6
SİİRT,ŞİRVAN,968,6,"-1,277",6
SİİRT,PERVARİ,972,7,"-1,345",6
SİNOP,MERKEZ,141,1,"0,917",2
SİNOP,AYANCIK,291,2,"0,146",3
SİNOP,BOYABAT,341,3,"-0,003",3
SİNOP,GERZE,380,4,"-0,106",3
SİNOP,TÜRKELİ,429,5,"-0,194",4
SİNOP,ERFELEK,702,6,"-0,585",5
SİNOP,DURAĞAN,775,7,"-0,687",5
SİNOP,SARAYDÜZÜ,814,8,"-0,751",5
SİNOP,DİKMEN,914,9,"-1,014",6
SİVAS,MERKEZ,110,1,"1,138",2
SİVAS,ŞARKIŞLA,417,2,"-0,178",4
SİVAS,DİVRİĞİ,445,3,"-0,218",4
SİVAS,SUŞEHRİ,480,4,"-0,280",4
SİVAS,ZARA,556,5,"-0,400",4
SİVAS,KANGAL,608,6,"-0,472",4
SİVAS,GÜRÜN,609,7,"-0,475",4
SİVAS,GEMEREK,615,8,"-0,478",4
SİVAS,AKINCILAR,640,9,"-0,511",5
SİVAS,İMRANLI,704,10,"-0,587",5
SİVAS,GÖLOVA,711,11,"-0,594",5
SİVAS,ULAŞ,712,12,"-0,595",5
SİVAS,DOĞANŞAR,737,13,"-0,625",5
SİVAS,ALTINYAYLA,762,14,"-0,664",5
SİVAS,HAFİK,807,15,"-0,742",5
SİVAS,KOYULHİSAR,813,16,"-0,748",5
SİVAS,YILDIZELİ,817,17,"-0,762",5
TEKİRDAĞ,ÇORLU,69,1,"1,577",2
TEKİRDAĞ,SÜLEYMANPAŞA,93,2,"1,314",2
TEKİRDAĞ,ÇERKEZKÖY,127,3,"1,034",2
TEKİRDAĞ,ERGENE,180,4,"0,687",2
TEKİRDAĞ,MARMARAEREĞLİSİ,262,5,"0,287",3
TEKİRDAĞ,MURATLI,278,6,"0,193",3
TEKİRDAĞ,KAPAKLI,290,7,"0,149",3
TEKİRDAĞ,SARAY,295,8,"0,125",3
TEKİRDAĞ,ŞARKÖY,303,9,"0,097",3
TEKİRDAĞ,MALKARA,314,10,"0,068",3
TEKİRDAĞ,HAYRABOLU,420,11,"-0,182",4
TOKAT,MERKEZ,132,1,"1,015",2
TOKAT,TURHAL,328,2,"0,037",3
TOKAT,ERBAA,375,3,"-0,097",3
TOKAT,NİKSAR,411,4,"-0,169",3
TOKAT,ZİLE,423,5,"-0,186",4
TOKAT,ARTOVA,699,6,"-0,583",5
TOKAT,ALMUS,738,7,"-0,626",5
TOKAT,PAZAR,747,8,"-0,633",5
TOKAT,REŞADİYE,757,9,"-0,657",5
TOKAT,YEŞİLYURT,797,10,"-0,729",5
TOKAT,SULUSARAY,884,11,"-0,911",6
TOKAT,BAŞÇİFTLİK,892,12,"-0,936",6
TRABZON,ORTAHİSAR,56,1,"1,807",1
TRABZON,YOMRA,224,2,"0,480",2
TRABZON,AKÇAABAT,236,3,"0,405",2
TRABZON,VAKFIKEBİR,265,4,"0,268",3
TRABZON,BEŞİKDÜZÜ,283,5,"0,170",3
TRABZON,SÜRMENE,322,6,"0,056",3
TRABZON,ÇAYKARA,345,7,"-0,023",3
TRABZON,OF,361,8,"-0,060",3
TRABZON,ARSİN,369,9,"-0,083",3
TRABZON,MAÇKA,400,10,"-0,150",3
TRABZON,ARAKLI,462,11,"-0,240",4
TRABZON,ÇARŞIBAŞI,517,12,"-0,340",4
TRABZON,DERNEKPAZARI,534,13,"-0,374",4
TRABZON,TONYA,605,14,"-0,469",4
TRABZON,KÖPRÜBAŞI,619,15,"-0,482",4
TRABZON,ŞALPAZARI,658,16,"-0,527",5
TRABZON,DÜZKÖY,730,17,"-0,616",5
TRABZON,HAYRAT,768,18,"-0,676",5
TUNCELİ,MERKEZ,117,1,"1,084",2
TUNCELİ,HOZAT,502,2,"-0,304",4
TUNCELİ,OVACIK,535,3,"-0,375",4
TUNCELİ,ÇEMİŞGEZEK,573,4,"-0,427",4
TUNCELİ,PERTEK,604,5,"-0,465",4
TUNCELİ,PÜLÜMÜR,628,6,"-0,492",4
TUNCELİ,MAZGİRT,698,7,"-0,580",5
TUNCELİ,NAZIMİYE,808,8,"-0,744",5
ŞANLIURFA,KARAKÖPRÜ,232,1,"0,446",2
ŞANLIURFA,HALİLİYE,304,2,"0,096",3
ŞANLIURFA,EYYÜBİYE,688,3,"-0,568",5
ŞANLIURFA,BİRECİK,759,4,"-0,660",5
ŞANLIURFA,SİVEREK,834,5,"-0,797",5
ŞANLIURFA,HALFETİ,835,6,"-0,798",5
ŞANLIURFA,VİRANŞEHİR,838,7,"-0,803",5
ŞANLIURFA,CEYLANPINAR,857,8,"-0,835",6
ŞANLIURFA,HİLVAN,860,9,"-0,840",6
ŞANLIURFA,SURUÇ,883,10,"-0,910",6
ŞANLIURFA,BOZOVA,896,11,"-0,947",6
ŞANLIURFA,AKÇAKALE,964,12,"-1,258",6
ŞANLIURFA,HARRAN,973,13,"-1,447",6
UŞAK,MERKEZ,101,1,"1,204",2
UŞAK,EŞME,414,2,"-0,172",3
UŞAK,ULUBEY,470,3,"-0,261",4
UŞAK,BANAZ,472,4,"-0,264",4
UŞAK,SİVASLI,582,5,"-0,434",4
UŞAK,KARAHALLI,723,6,"-0,609",5
VAN,PEKYOLU,238,1,"0,404",2
VAN,TUŞBA,426,2,"-0,190",4
VAN,EDREMİT,536,3,"-0,377",4
VAN,ERCİŞ,790,4,"-0,715",5
VAN,GEVAŞ,832,5,"-0,794",5
VAN,ÇATAK,927,6,"-1,064",6
VAN,MURADİYE,937,7,"-1,112",6
VAN,GÜRPINAR,939,8,"-1,116",6
VAN,BAŞKALE,943,9,"-1,130",6
VAN,ÖZALP,949,10,"-1,159",6
VAN,ÇALDIRAN,956,11,"-1,220",6
VAN,SARAY,958,12,"-1,237",6
VAN,BAHÇESARAY,960,13,"-1,244",6
YOZGAT,MERKEZ,163,1,"0,812",2
YOZGAT,YERKÖY,309,2,"0,079",3
YOZGAT,SORGUN,353,3,"-0,038",3
YOZGAT,BOĞAZLIYAN,434,4,"-0,197",4
YOZGAT,ÇANDIR,465,5,"-0,246",4
YOZGAT,YENİFAKILI,523,6,"-0,352",4
YOZGAT,ŞEFAATLİ,527,7,"-0,362",4
YOZGAT,AKDAĞMADENİ,552,8,"-0,393",4
YOZGAT,ÇAYIRALAN,555,9,"-0,398",4
YOZGAT,SARIKAYA,561,10,"-0,411",4
YOZGAT,SARAYKENT,703,11,"-0,587",5
YOZGAT,ÇEKEREK,731,12,"-0,619",5
YOZGAT,KADIŞEHRİ,866,13,"-0,847",6
YOZGAT,AYDINCIK,889,14,"-0,928",6
ZONGULDAK,MERKEZ,102,1,"1,189",2
ZONGULDAK,KOZLU,196,2,"0,622",2
ZONGULDAK,EREĞLİ,199,3,"0,612",2
ZONGULDAK,ÇAYCUMA,308,4,"0,080",3
ZONGULDAK,DEVREK,354,5,"-0,038",3
ZONGULDAK,GÖKÇEBEY,412,6,"-0,170",3
ZONGULDAK,ALAPLI,413,7,"-0,170",3
ZONGULDAK,KİLİMLİ,433,8,"-0,197",4
AKSARAY,MERKEZ,137,1,"0,960",2
AKSARAY,ORTAKÖY,444,2,"-0,212",4
AKSARAY,SARIYAHŞİ,626,3,"-0,491",4
AKSARAY,ESKİL,672,4,"-0,542",5
AKSARAY,AĞAÇÖREN,683,5,"-0,563",5
AKSARAY,SULTANHANI,764,6,"-0,667",5
AKSARAY,GÜLAĞAÇ,777,7,"-0,688",5
AKSARAY,GÜZELYURT,816,8,"-0,755",5
BAYBURT,MERKEZ,284,1,"0,161",3
BAYBURT,AYDINTEPE,714,2,"-0,598",5
BAYBURT,DEMİRÖZÜ,795,3,"-0,724",5
KARAMAN,MERKEZ,168,1,"0,761",2
KARAMAN,KAZIMKARABEKİR,334,2,"0,022",3
KARAMAN,ERMENEK,477,3,"-0,275",4
KARAMAN,BAŞYAYLA,661,4,"-0,528",5
KARAMAN,SARIVELİLER,745,5,"-0,631",5
KARAMAN,AYRANCI,773,6,"-0,683",5
KIRIKKALE,YAHŞİHAN,58,1,"1,778",1
KIRIKKALE,MERKEZ,172,2,"0,726",2
KIRIKKALE,BAHŞİLİ,342,3,"-0,005",3
KIRIKKALE,KARAKEÇİLİ,569,4,"-0,423",4
KIRIKKALE,KESKİN,617,5,"-0,480",4
KIRIKKALE,BALIŞEYH,656,6,"-0,527",5
KIRIKKALE,DELİCE,687,7,"-0,567",5
KIRIKKALE,ÇELEBİ,722,8,"-0,608",5
KIRIKKALE,SULAKYURT,843,9,"-0,809",5
BATMAN,MERKEZ,245,1,"0,367",3
BATMAN,HASANKEYF,781,2,"-0,697",5
BATMAN,BEŞİRİ,831,3,"-0,792",5
BATMAN,KOZLUK,878,4,"-0,885",6
BATMAN,GERCÜŞ,901,5,"-0,962",6
BATMAN,SASON,925,6,"-1,063",6
ŞIRNAK,MERKEZ,514,1,"-0,333",4
ŞIRNAK,CİZRE,610,2,"-0,475",4
ŞIRNAK,SİLOPİ,734,3,"-0,621",5
ŞIRNAK,BEYTÜŞŞEBAP,794,4,"-0,723",5
ŞIRNAK,ULUDERE,844,5,"-0,810",5
ŞIRNAK,İDİL,863,6,"-0,842",6
ŞIRNAK,GÜÇLÜKONAK,900,7,"-0,959",6
BARTIN,MERKEZ,226,1,"0,475",2
BARTIN,AMASRA,379,2,"-0,102",3
BARTIN,ULUS,693,3,"-0,576",5
BARTIN,KURUCAŞİLE,802,4,"-0,732",5
ARDAHAN,MERKEZ,305,1,"0,088",3
ARDAHAN,POSOF,629,2,"-0,492",4
ARDAHAN,ÇILDIR,822,3,"-0,773",5
ARDAHAN,DAMAL,847,4,"-0,814",5
ARDAHAN,GÖLE,853,5,"-0,831",6
ARDAHAN,HANAK,888,6,"-0,926",6
IĞDIR,MERKEZ,329,1,"0,033",3
IĞDIR,ARALIK,867,2,"-0,852",6
IĞDIR,TUZLUCA,898,3,"-0,953",6
IĞDIR,KARAKOYUNLU,911,4,"-1,008",6
YALOVA,MERKEZ,111,1,"1,137",2
YALOVA,ÇİFTLİKKÖY,158,2,"0,828",2
YALOVA,ALTINOVA,209,3,"0,556",2
YALOVA,TERMAL,286,4,"0,158",3
YALOVA,ÇINARCIK,292,5,"0,141",3
YALOVA,ARMUTLU,331,6,"0,029",3
KARABÜK,MERKEZ,136,1,"0,962",2
KARABÜK,SAFRANBOLU,188,2,"0,662",2
KARABÜK,ESKİPAZAR,540,3,"-0,383",4
KARABÜK,YENİCE,590,4,"-0,448",4
KARABÜK,EFLANİ,758,5,"-0,658",5
KARABÜK,OVACIK,824,6,"-0,776",5
KİLİS,MERKEZ,279,1,"0,193",3
KİLİS,ELBEYLİ,856,2,"-0,835",6
KİLİS,POLATELİ,948,3,"-1,155",6
KİLİS,MUSABEYLİ,959,4,"-1,243",6
OSMANİYE,MERKEZ,218,1,"0,515",2
OSMANİYE,KADİRLİ,287,2,"0,157",3
OSMANİYE,TOPRAKKALE,370,3,"-0,084",3
OSMANİYE,DÜZİÇİ,475,4,"-0,269",4
OSMANİYE,BAHÇE,499,5,"-0,302",4
OSMANİYE,HASANBEYLİ,697,6,"-0,580",5
OSMANİYE,SUMBAS,909,7,"-0,987",6
DÜZCE,MERKEZ,128,1,"1,032",2
DÜZCE,AKÇAKOCA,268,2,"0,257",3
DÜZCE,KAYNAŞLI,376,3,"-0,099",3
DÜZCE,GÜMÜŞOVA,393,4,"-0,134",3
DÜZCE,ÇİLİMLİ,432,5,"-0,196",4
DÜZCE,CUMAYERİ,459,6,"-0,237",4
DÜZCE,GÖLYAKA,607,7,"-0,472",4
DÜZCE,YIĞILCA,877,8,"-0,880",6
